num_neurons, connection_probability, num_repeat, setup_time, simulate_time
10, 0.25, 0, 6.318092346191406e-05, 0.023192405700683594
10, 0.25, 1, 8.225440979003906e-05, 0.022983789443969727
10, 0.25, 2, 8.0108642578125e-05, 0.022854089736938477
10, 0.25, 3, 9.226799011230469e-05, 0.0228574275970459
10, 0.25, 4, 8.082389831542969e-05, 0.02287435531616211
10, 0.25, 5, 8.153915405273438e-05, 0.02275562286376953
10, 0.25, 6, 4.172325134277344e-05, 0.0226898193359375
10, 0.25, 7, 5.269050598144531e-05, 0.02322101593017578
10, 0.25, 8, 6.604194641113281e-05, 0.02361607551574707
10, 0.25, 9, 4.0531158447265625e-05, 0.022832393646240234
10, 0.5, 0, 6.175041198730469e-05, 0.022890806198120117
10, 0.5, 1, 6.461143493652344e-05, 0.023658275604248047
10, 0.5, 2, 5.698204040527344e-05, 0.024258136749267578
10, 0.5, 3, 5.745887756347656e-05, 0.024377822875976562
10, 0.5, 4, 4.553794860839844e-05, 0.024083852767944336
10, 0.5, 5, 4.9114227294921875e-05, 0.023088693618774414
10, 0.5, 6, 5.054473876953125e-05, 0.02289605140686035
10, 0.5, 7, 5.2928924560546875e-05, 0.022828102111816406
10, 0.5, 8, 4.291534423828125e-05, 0.022933244705200195
10, 0.5, 9, 4.220008850097656e-05, 0.02338099479675293
10, 0.75, 0, 5.626678466796875e-05, 0.022881507873535156
10, 0.75, 1, 4.7206878662109375e-05, 0.022909879684448242
10, 0.75, 2, 5.7697296142578125e-05, 0.022778034210205078
10, 0.75, 3, 4.4345855712890625e-05, 0.022782325744628906
10, 0.75, 4, 4.7206878662109375e-05, 0.02294778823852539
10, 0.75, 5, 4.839897155761719e-05, 0.02282547950744629
10, 0.75, 6, 4.792213439941406e-05, 0.022851228713989258
10, 0.75, 7, 4.673004150390625e-05, 0.02274799346923828
10, 0.75, 8, 5.7697296142578125e-05, 0.022637367248535156
10, 0.75, 9, 4.506111145019531e-05, 0.022664546966552734
10, 1.0, 0, 0.00011014938354492188, 0.02276134490966797
10, 1.0, 1, 4.887580871582031e-05, 0.023951292037963867
10, 1.0, 2, 6.222724914550781e-05, 0.023377418518066406
10, 1.0, 3, 6.4849853515625e-05, 0.024207353591918945
10, 1.0, 4, 5.7220458984375e-05, 0.022809505462646484
10, 1.0, 5, 4.887580871582031e-05, 0.02273416519165039
10, 1.0, 6, 6.389617919921875e-05, 0.022632598876953125
10, 1.0, 7, 4.863739013671875e-05, 0.022691726684570312
10, 1.0, 8, 4.839897155761719e-05, 0.022729158401489258
10, 1.0, 9, 6.103515625e-05, 0.02335834503173828
100, 0.25, 0, 0.0006592273712158203, 0.0604243278503418
100, 0.25, 1, 0.001287221908569336, 0.10390496253967285
100, 0.25, 2, 0.0012881755828857422, 0.19866299629211426
100, 0.25, 3, 0.00130462646484375, 0.2844076156616211
100, 0.25, 4, 0.0012259483337402344, 0.10171818733215332
100, 0.25, 5, 0.0012617111206054688, 0.10492420196533203
100, 0.25, 6, 0.0012688636779785156, 0.10107588768005371
100, 0.25, 7, 0.0012726783752441406, 0.11688661575317383
100, 0.25, 8, 0.0012707710266113281, 0.10176396369934082
100, 0.25, 9, 0.0012862682342529297, 0.1082007884979248
100, 0.5, 0, 0.0025751590728759766, 0.10097694396972656
100, 0.5, 1, 0.002499818801879883, 0.10186457633972168
100, 0.5, 2, 0.002480030059814453, 0.10646724700927734
100, 0.5, 3, 0.002534627914428711, 0.10153460502624512
100, 0.5, 4, 0.0024726390838623047, 0.1020212173461914
100, 0.5, 5, 0.0024869441986083984, 0.10132288932800293
100, 0.5, 6, 0.0025005340576171875, 0.10085082054138184
100, 0.5, 7, 0.0024585723876953125, 0.10292506217956543
100, 0.5, 8, 0.0024890899658203125, 0.10153746604919434
100, 0.5, 9, 0.0025093555450439453, 0.10294842720031738
100, 0.75, 0, 0.0036592483520507812, 0.10182523727416992
100, 0.75, 1, 0.003671884536743164, 0.09964704513549805
100, 0.75, 2, 0.0036835670471191406, 0.09983015060424805
100, 0.75, 3, 0.0036554336547851562, 0.1005094051361084
100, 0.75, 4, 0.003662109375, 0.10754895210266113
100, 0.75, 5, 0.0036258697509765625, 0.10766243934631348
100, 0.75, 6, 0.0036535263061523438, 0.0975501537322998
100, 0.75, 7, 0.003614187240600586, 0.11105799674987793
100, 0.75, 8, 0.0037086009979248047, 0.1268308162689209
100, 0.75, 9, 0.003674030303955078, 0.10064458847045898
100, 1.0, 0, 0.004838228225708008, 0.21786904335021973
100, 1.0, 1, 0.004874467849731445, 0.10375428199768066
100, 1.0, 2, 0.004826545715332031, 0.10512757301330566
100, 1.0, 3, 0.0048313140869140625, 0.11526322364807129
100, 1.0, 4, 0.004833221435546875, 0.10003781318664551
100, 1.0, 5, 0.004821062088012695, 0.10422325134277344
100, 1.0, 6, 0.00482940673828125, 0.09920954704284668
100, 1.0, 7, 0.004831552505493164, 0.10057425498962402
100, 1.0, 8, 0.004828691482543945, 0.10031247138977051
100, 1.0, 9, 0.004830121994018555, 0.09988737106323242
1000, 0.25, 0, 0.061176300048828125, 0.6024801731109619
1000, 0.25, 1, 0.060948848724365234, 0.5388674736022949
1000, 0.25, 2, 0.05930638313293457, 0.48996758460998535
1000, 0.25, 3, 0.05974864959716797, 0.5569159984588623
1000, 0.25, 4, 0.0614008903503418, 0.6136155128479004
1000, 0.25, 5, 0.060469865798950195, 0.4812333583831787
1000, 0.25, 6, 0.06077122688293457, 0.5656042098999023
1000, 0.25, 7, 0.059507131576538086, 0.5339579582214355
1000, 0.25, 8, 0.06044745445251465, 0.4810335636138916
1000, 0.25, 9, 0.06029486656188965, 0.6156983375549316
1000, 0.5, 0, 0.11702871322631836, 0.497708797454834
1000, 0.5, 1, 0.11522698402404785, 0.48215174674987793
1000, 0.5, 2, 0.11574554443359375, 0.4820857048034668
1000, 0.5, 3, 0.11447834968566895, 0.4825475215911865
1000, 0.5, 4, 0.1141810417175293, 0.49213671684265137
1000, 0.5, 5, 0.11432433128356934, 0.4825470447540283
1000, 0.5, 6, 0.11433005332946777, 0.4870762825012207
1000, 0.5, 7, 0.11406779289245605, 0.6734714508056641
1000, 0.5, 8, 0.1148219108581543, 0.48301196098327637
1000, 0.5, 9, 0.11429119110107422, 0.5556120872497559
1000, 0.75, 0, 0.17027688026428223, 0.49053502082824707
1000, 0.75, 1, 0.169996976852417, 0.6495366096496582
1000, 0.75, 2, 0.16933465003967285, 0.48830652236938477
1000, 0.75, 3, 0.17396020889282227, 0.508861780166626
1000, 0.75, 4, 0.1692042350769043, 0.48993539810180664
1000, 0.75, 5, 0.16885685920715332, 0.5045132637023926
1000, 0.75, 6, 0.17039918899536133, 0.48671388626098633
1000, 0.75, 7, 0.17159032821655273, 0.4916205406188965
1000, 0.75, 8, 0.16909527778625488, 0.49147963523864746
1000, 0.75, 9, 0.18130087852478027, 0.5066549777984619
1000, 1.0, 0, 0.22816729545593262, 0.5376253128051758
1000, 1.0, 1, 0.22408771514892578, 0.4908764362335205
1000, 1.0, 2, 0.22601056098937988, 0.49422311782836914
1000, 1.0, 3, 0.22380304336547852, 0.6308557987213135
1000, 1.0, 4, 0.22490310668945312, 0.4897952079772949
1000, 1.0, 5, 0.2371387481689453, 0.5043549537658691
1000, 1.0, 6, 0.22537827491760254, 0.4882805347442627
1000, 1.0, 7, 0.22474932670593262, 0.4886443614959717
1000, 1.0, 8, 0.22746634483337402, 0.6928980350494385
1000, 1.0, 9, 0.2273573875427246, 0.4982035160064697
10000, 0.25, 0, 6.246038436889648, 19.478358268737793
10000, 0.25, 1, 7.107779026031494, 22.472431898117065
10000, 0.25, 2, 6.320881605148315, 19.949880599975586
10000, 0.25, 3, 6.438380241394043, 18.426254749298096
10000, 0.25, 4, 6.459925174713135, 18.96261978149414
10000, 0.25, 5, 6.101356029510498, 18.549176931381226
10000, 0.25, 6, 6.35921049118042, 20.8726863861084
10000, 0.25, 7, 6.1955718994140625, 18.7647123336792
10000, 0.25, 8, 6.194302082061768, 20.607454538345337
10000, 0.25, 9, 6.228567123413086, 20.56254768371582
10000, 0.5, 0, 12.345331907272339, 18.923604726791382
10000, 0.5, 1, 16.925944566726685, 19.565497159957886
10000, 0.5, 2, 13.830807447433472, 20.53681993484497
10000, 0.5, 3, 12.393005847930908, 21.18996548652649
10000, 0.5, 4, 12.22182321548462, 19.167195320129395
10000, 0.5, 5, 12.854760885238647, 20.137314319610596
10000, 0.5, 6, 12.242885112762451, 18.133612632751465
10000, 0.5, 7, 12.260654211044312, 18.857853174209595
10000, 0.5, 8, 12.529506921768188, 20.991795539855957
10000, 0.5, 9, 12.227085828781128, 17.875101804733276
10000, 0.75, 0, 21.20938467979431, 21.234147787094116
10000, 0.75, 1, 22.292932510375977, 19.598743677139282
10000, 0.75, 2, 24.076063632965088, 18.263856410980225
10000, 0.75, 3, 21.558529376983643, 19.628133058547974
10000, 0.75, 4, 19.243256092071533, 17.112027645111084
10000, 0.75, 5, 18.49267268180847, 21.2214994430542
10000, 0.75, 6, 21.418023586273193, 19.377262353897095
10000, 0.75, 7, 21.41104292869568, 19.215052127838135
10000, 0.75, 8, 20.760055541992188, 20.735652923583984
10000, 0.75, 9, 18.70891523361206, 18.661232233047485
10000, 1.0, 0, 24.97730851173401, 19.512115478515625
10000, 1.0, 1, 28.13311243057251, 18.773216485977173
10000, 1.0, 2, 34.617992877960205, 20.88816547393799
10000, 1.0, 3, 32.29297375679016, 19.282559871673584
10000, 1.0, 4, 26.962103128433228, 18.947953939437866
10000, 1.0, 5, 24.890432357788086, 20.468538999557495
10000, 1.0, 6, 24.71230149269104, 20.38732886314392
10000, 1.0, 7, 27.855293035507202, 20.477079153060913
10000, 1.0, 8, 25.527724742889404, 17.74903416633606
10000, 1.0, 9, 34.99319791793823, 19.8613018989563
